Date,Close/Last,Volume,Open,High,Low
1/28/2025,555.85,4164674,552.3,556.65,549.22
1/27/2025,551.23,7617385,546.93,551.39,546.83
1/24/2025,559.01,3612141,560.76,561.66,558.02
1/23/2025,560.7,6217878,557.04,560.7,556.8
1/22/2025,557.61,4780036,557.19,558.9299,556.73
1/21/2025,554.46,5301678,552.32,554.46,550.5
1/17/2025,549.46,6558651,548.92,551.12,547.68
1/16/2025,544.24,3632752,546.35,546.51,543.39
1/15/2025,545.05,5307318,542.84,546.13,541.76
1/14/2025,535.26,8820003,537.32,537.9064,531.8149
1/13/2025,534.58,5621011,529.4,534.91,529.02
1/10/2025,533.89,7935202,538.71,538.75,532
1/8/2025,542.14,4316999,541.32,543,538.08
1/7/2025,541.41,5383235,549.32,549.6,539.56
1/6/2025,547.57,5983435,548.28,551.43,545.82
1/3/2025,544.4,6419663,540.19,544.88,539.2
1/2/2025,537.46,7142698,542.02,543.5399,533.795
12/31/2024,538.81,6040750,542.45,543.0651,537.4001
12/30/2024,540.99,6505089,540.56,544.09,537.4
12/27/2024,547.08,7077135,549.37,549.62,543.2001
12/26/2024,552.81,4496268,551.2,553.97,549.9201
12/24/2024,552.82,3439250,548.06,552.9,547.54
12/23/2024,547.19,7063355,543.31,547.36,540.32
12/20/2024,545.04,9389413,536.61,549.54,535.85
12/19/2024,538.94,16792130,543.69,545.1,538.65
12/18/2024,539.14,24584930,555.3,557.53,538.53
12/17/2024,555.45,6110880,555.47,556.385,554.29
12/16/2024,557.79,22846780,557.13,558.7983,556.415
12/13/2024,555.61,4666863,557.51,558.16,554.2044
12/12/2024,555.65,4048602,557.67,558.2,555.62
12/11/2024,558.53,3514417,556.92,559.39,556.66
12/10/2024,554.33,4110113,556.58,556.88,553.57
12/9/2024,555.91,4412276,558.71,558.865,555.38
12/6/2024,558.82,5134880,558.47,559.96,558.08
12/5/2024,557.71,3021561,558.63,559.41,557.46
12/4/2024,558.64,5490321,556.83,558.88,556.171
12/3/2024,555.14,4202906,554.8,555.4301,553.79
12/2/2024,555.01,5441011,554.36,555.57,553.89
11/29/2024,553.45,3988727,551.29,554.7,551.07
11/27/2024,550.55,3312219,552.04,552.38,549.11
11/26/2024,552.31,4438574,550.5,552.8199,549.85
11/25/2024,549.23,4305001,551.2,552.38,547.1999
11/22/2024,547.47,5574588,545.82,548.0496,545.37
11/21/2024,545.64,4530619,545.58,547.07,540.04
11/20/2024,542.9,3949060,542.78,543.07,537.44
11/19/2024,542.7,6978373,537.5,543.37,536.9
11/18/2024,540.73,4504246,538.92,541.93,538.145
11/15/2024,538.5,7360114,542.13,542.57,536.75
11/14/2024,545.54,3940282,549.1,549.57,544.88
11/13/2024,549.03,3701570,549.16,550.88,546.97
11/12/2024,548.75,4818613,550.39,550.94,546.43
11/11/2024,550.4,4893129,551.43,551.73,548.85
11/8/2024,549.95,6797976,548.07,551.24,548.06
11/7/2024,547.53,6051276,545.22,548.475,545.15
11/6/2024,543.3,7483337,541.65,544.14,538.17
11/5/2024,530.1,3300279,524.72,530.17,524.48
11/4/2024,523.8,3681461,525.06,526.28,522.0301
11/1/2024,524.94,6106942,525.16,529.08,524.5401
10/31/2024,522.67,7972774,529.09,529.23,522.51
10/30/2024,533.16,3067015,534.35,536.2,532.59
10/29/2024,534.77,3027611,533.12,535.82,531.75
10/28/2024,533.92,3407971,535.53,535.57,533.6708
10/25/2024,532.26,4327190,534.65,537.2601,531.414
10/24/2024,532.47,4477762,533.17,533.18,530.04
10/23/2024,531.27,5227754,534.28,534.72,528.02
10/22/2024,536.16,3366595,534.11,537.28,533.47
10/21/2024,536.53,3671431,536.72,537.61,533.71
10/18/2024,537.36,5070412,536.9,538.1,535.56
10/17/2024,535.3,3225297,538.62,538.76,535.15
10/16/2024,535.22,3237216,532.93,535.73,532.215
10/15/2024,532.98,4811330,537.38,537.61,531.82
10/14/2024,537.07,2638929,534.25,537.98,533.97
10/11/2024,532.71,5429168,529.5,533.43,529.39
10/10/2024,529.56,3637633,529.27,530.9,528.09
10/9/2024,530.45,2941785,526.87,531.03,526.31
10/8/2024,526.85,2626667,524.32,527.38,523.5
10/7/2024,521.91,3970505,525.14,525.7201,520.81
10/4/2024,526.65,5358175,526.16,527.02,522.3
10/3/2024,521.84,4007952,521.56,523.755,519.82
10/2/2024,522.83,3270583,521.85,523.85,519.5801
10/1/2024,522.74,9198657,527.04,527.1,520.23
9/30/2024,527.67,8017349,524.32,527.955,522.19
9/27/2024,525.38,5598594,527.09,527.77,524.32
9/26/2024,527.7,5273915,529.67,529.92,525.49
9/25/2024,525.61,35418050,526.61,527.3,524.65
9/24/2024,526.68,4650608,526.01,526.84,523.38
9/23/2024,525.17,29289160,525,525.83,523.83
9/20/2024,523.88,5612678,523.51,524.92,521.12
9/19/2024,524.91,5558371,524.88,526.6,522.19
9/18/2024,515.91,6921278,518.18,522.73,515.47
9/17/2024,517.59,8149957,519.44,520.735,515.5
9/16/2024,517.35,4256253,516.34,517.59,514.65
9/13/2024,516.57,4416641,514.43,517.53,514.23
9/12/2024,513.84,4099538,510.09,514.1398,508.06
9/11/2024,509.46,4945832,504.31,510.44,496.25
9/10/2024,504.3,2975385,503.95,504.705,499.4997
9/9/2024,502.23,3656797,500.6,503.37,498.75
9/6/2024,496.64,7411439,505.34,506.94,495.8
9/5/2024,505.05,3425569,506.36,508.94,502.84
9/4/2024,506.3,3601373,505.68,509.53,505.02
9/3/2024,507.56,5866441,515.12,515.43,505.1
8/30/2024,518.04,5637725,515.42,518.58,512.12
8/29/2024,513.21,3487145,514.99,518.09,512.13
8/28/2024,513.13,3940428,515.8,516.23,510.16
8/27/2024,516.08,3031778,514.26,516.59,513.16
8/26/2024,515.39,3398640,517.64,518.29,513.875
8/23/2024,516.66,5102791,514.33,517.55,512.2521
8/22/2024,511.13,3677087,517.05,517.63,510.1
8/21/2024,515.3,3344050,514.47,516.6599,512.85
8/20/2024,513.5,3155981,513.92,515.4799,512.25
8/19/2024,514.35,3804313,509.86,514.35,509.06
8/16/2024,509.45,3449286,506.84,510.11,506.65
8/15/2024,508.38,4278953,505.09,508.59,504.4857
8/14/2024,499.8,3700503,498.92,500.85,496.478
8/13/2024,498.21,3247887,493.14,498.38,492.92
8/12/2024,490.07,3578134,490.94,492.35,487.98
8/9/2024,489.82,7661331,486.93,491.21,485.82
8/8/2024,487.73,4177234,481.49,488.27,479.64
8/7/2024,476.61,5976351,485.7,488.55,476.11
8/6/2024,479.94,8255040,477.39,486.86,475.94
8/5/2024,475.2,15244280,470.17,481.18,468.89
8/2/2024,489.91,8561166,492.41,493.52,485.8
8/1/2024,499.03,6939217,507.84,509.9,495.75
7/31/2024,505.93,5367587,504.48,508.6532,503.305
7/30/2024,498.08,3817800,502.05,503.01,494.915
7/29/2024,500.7,3096178,501.82,502.765,498.7746
7/26/2024,500.33,3635984,498.36,502.885,497.67
7/25/2024,494.78,5646601,497.55,503.14,493.92
7/24/2024,497.29,6157402,504.43,504.7,496.545
7/23/2024,508.94,3116045,509.66,511.65,508.49
7/22/2024,509.79,4342929,508.27,510.32,506.44
7/19/2024,504.55,4039437,507.64,509.2,503.56
7/18/2024,507.94,5055850,513.25,514.19,505.871
7/17/2024,511.79,4984306,513.56,515.11,511.56
7/16/2024,519.04,4164300,517.33,519.4,516.6
7/15/2024,516.11,7771524,516.58,519.12,514.34
7/12/2024,514.55,5238170,512.49,518.03,512.17
7/11/2024,511.39,5546308,516,516.79,510.825
7/10/2024,515.81,3446923,511.98,516.185,511.69
7/9/2024,510.89,3145823,511.21,512.01,510.54
7/8/2024,510.33,3143379,510.5,511.205,509.32
7/5/2024,509.84,3156922,507.13,510.1,506.49
7/3/2024,506.81,2131086,504.22,507.14,504.22
7/2/2024,504.53,4210083,499.69,504.61,499.61
7/1/2024,501.28,4368526,501.49,501.6799,498.6
6/28/2024,500.13,5598571,502.97,505.73,499.01
6/27/2024,503.85,3619655,503,504.48,502.32
6/26/2024,503.07,3202700,501.47,503.77,500.89
6/25/2024,502.51,6336724,501.71,502.83,500.32
6/24/2024,500.43,7022844,502.03,504.4395,500.43
